was/VBD	(root,1) (was,1) (VBD,1) 
4/CD	(NN,1) (CD,1) (4,1) (nummod,1) (taghorjix,1) (root,1) 
i/FW	(FW,1) (VBP,1) (root,1) (feel,1) (i,1) (nsubj,1) 
eyes/NNS	(NNS,1) (unfolding,1) (root,1) (VBG,1) (nmod:before,1) (eyes,1) 
results/NNS	(NNS,1) (VBP,1) (nmod:with,1) (root,1) (agree,1) (results,1) 
what/WP	(VBN,1) (what,1) (nsubjpass,1) (root,1) (WP,1) (done,1) 
itong/VBG	(itong,1) (root,1) (VBG,1) 
'll/MD	(aux,1) (root,1) ('ll,1) (MD,1) (try,1) (VB,1) 
achieve/VB	(NN,1) (find,1) (achieve,1) (root,1) (inspiration,1) (acl,1) (VB,2) (dobj,1) 
white/JJ	(NN,1) (JJ,1) (shirt,1) (white,1) (root,1) (wears,1) (dobj,1) (amod,1) (VBZ,1) 
think/VB	(think,1) (like,1) (VBP,1) (root,1) (VB,1) (xcomp,1) 
before/IN	(NNS,1) (before,1) (IN,1) (unfolding,1) (root,1) (VBG,1) (nmod:before,1) (eyes,1) (case,1) 
all/DT	(manifestations,1) (JJ,1) (acl:relcl,1) (all,1) (DT,1) (NNS,1) (nmod:after,1) (root,1) (true,1) 
isip/NN	(isip,1) (NN,1) (NNP,1) (ko,1) (VBP,1) (di,1) (root,1) (nsubj,1) (compound,1) 
to/TO	(root,1) (have,1) (to,1) (TO,1) (VB,1) (mark,1) 
true/JJ	(manifestations,1) (JJ,1) (acl:relcl,1) (NNS,1) (root,1) (true,1) 
12:58:20/CD	(NNP,1) (CD,2) (12:58:20,1) (root,1) (leido,1) (PM,1) (compound,1) (dep,1) 
-----/NNS	(JJ,1) (aperture,1) (-----,1) (NNS,1) (WRB,1) (root,1) (takes,1) (when,1) (nmod:on,1) (dep,2) (VBZ,1) 
Basta/NNP	(NNP,1) (root,1) (Basta,1) 
much/RB	(JJ,1) (RB,1) (advmod,1) (ccomp,1) (root,1) (save,1) (VB,1) (easy,1) (much,1) 
naman/NNP	(NN,2) (nagandahan,1) (nmod:at,1) (NNP,1) (VBP,1) (root,1) (ang,1) (dobj,1) (naman,1) (compound,1) (pelikula,1) 
never/RB	(JJ,1) (RB,1) (never,1) (neg,1) (able,1) (root,1) 
alright/JJ	(exist,1) (JJ,1) (VBP,1) (root,1) (alright,1) (xcomp,1) 
2-day/JJ	(NN,1) (JJ,1) (took,1) (root,1) (2-day,1) (VBD,1) (dobj,1) (amod,1) (holiday,1) 
gather/VB	(NN,1) (truth,1) (root,1) (understand,1) (know,1) (parataxis,1) (gather,1) (VB,3) (dobj,1) (dep,1) 
alam/NN	(NN,2) (root,1) (alam,1) (bading,1) (compound,1) 
pag-blog/JJ	(NN,2) (JJ,1) (pag-blog,1) (ko,1) (root,1) (amod,1) (bading,1) (compound,1) 
tao/NN	(NN,1) (tao,1) (VBP,1) (root,1) (VBG,1) (advcl,1) (dobj,1) (sa,1) (sobrang,1) 
so-called/JJ	(NN,1) (movies,1) (JJ,1) (NNS,1) (root,1) (nmod:for,1) (so-called,1) (amod,1) (benchmark,1) 
half/NN	(NN,1) (NNP,1) (CD,1) (2,1) (half,1) (Mantra,1) (root,1) (conj:and,1) (amod,1) 
